"Date","BGG","BIG","BMI","BMS","BOBE","BRC","CAL","CASY","CATO","CBB","Market"
1997-01-31,0.025568182,0.019379845,0.03257329,0.108474575,0.037037037,-0.060710661,-0.089655176,-0.058666665,-0.200000003,0.007302231,0.053472869
1997-02-28,-0.027257618,0.068441063,0.12542586,0.017125383,-0.021071428,0.157608703,-0.015151516,0.092198581,0.21875,0.002020202,-0.001122383
1997-03-31,0.028653296,0.003558719,0.047887325,-0.036253776,0.009174312,-0.056338027,0.03846154,0,0.187692314,-0.085483871,-0.044867564
1997-04-30,0.094707519,0.134751767,-0.080645159,-0.043887146,-0.036363635,0.005174129,0,-0.018181818,-0.195652172,-0.008849557,0.042373158
1997-05-31,0.050890584,-0.03125,0.175380111,0.05442623,0.072075471,0.134328365,0.097744361,0.059602648,0.089729726,0.098214284,0.071623571
1997-06-30,-0.026053268,0.120967738,0.185000002,0.081249997,0.199115038,0.01754386,0.038194444,0.076562501,0.087499999,0.027642276,0.044094723
1997-07-31,0.01375,0.158273384,0.400843889,0.062138729,-0.018450184,0.026034482,-0.063545153,0.052191582,0.344827592,-0.047619049,0.076514199
1997-08-31,-0.04133169,-0.069875777,0.183704823,-0.039183673,0.0724812,0.025316456,-0.046428572,0.005524862,0.1965812,-0.102083333,-0.036291115
1997-09-30,0.023285899,0.118530884,0.00127551,0.018492177,0.070422538,0.028806584,0.104868911,0.082417585,0.047428571,0.052436195,0.0584994
1997-10-31,0.006321113,-0.047761194,-0.164331213,-0.14804469,-0.003289474,0.0288,-0.16838488,-0.019086294,-0.061643835,-0.044247787,-0.034436151
1997-11-30,0.033266332,0.219435737,0.015219512,0.110163935,0.060330033,-0.0390625,0.070247933,-0.023316063,0.080291972,0.09259259,0.030403744
1997-12-31,-0.05012225,-0.096401028,-0.018072288,0.045994066,0.106250003,0.008130081,-0.171428576,0.07692308,-0.036216218,0.050847456,0.017816773
1998-01-31,-0.092664093,-0.06401138,-0.147239268,-0.021276595,-0.132768363,-0.035483871,0.089201875,0.109556653,0.28169015,0.15846774,0.00450245
1998-02-28,0.012028369,0,0.132014394,0.050028987,0.075830616,0.109243698,0.012931035,0.071111113,0.16483517,-0.106457241,0.07330329
1998-03-31,0.033850495,0.044072948,-0.084529504,0.001386963,0.030395137,0.015151516,-0.014468085,0.062240664,-0.100377358,0.116406247,0.051301062
1998-04-30,-0.012278308,-0.068413392,0.020905923,-0.013850415,-0.038348082,-0.085074626,0.108695649,0.024374999,0.200000003,0.073684208,0.010903504
1998-05-31,0.002762431,-0.045312501,-0.009556314,-0.047022473,0.049938649,-0.049180329,0.125490203,-0.133587793,0.064561404,-0.168300658,-0.025747878
1998-06-30,-0.168760329,-0.050736498,-0.019031141,-0.031111112,-0.005865103,-0.040948275,0.113588847,0.167400882,0.150826439,-0.097053044,0.031944022
1998-07-31,-0.098497495,-0.068965517,-0.056437388,-0.055045873,-0.119469024,-0.257528096,-0.188679248,-0.078339621,-0.238779172,0.122270741,-0.02336717
1998-08-31,0.099333331,-0.06666667,-0.133831769,-0.065501615,-0.007437186,-0.182926834,-0.085271321,-0.151639342,-0.283018857,-0.268482476,-0.157843918
1998-09-30,0.117147706,-0.376984119,0.015184382,-0.022648083,0.081355929,0.238805965,0.049152542,0.159420297,0.228947371,0.106382981,0.063826621
1998-10-31,0.142857149,-0.184713379,0.205128208,0.05882353,-0.012539185,0.116144575,0.036585364,-0.065666668,0.145161286,0.001442308,0.07439252
1998-11-30,0.07930851,0.34375,0.032624114,0.024444444,0.233142853,0.119565219,0.125490203,-0.008928572,0.018779343,0.214457825,0.062023196
1998-12-31,-0.011152416,-0.061046511,-0.017241379,0.003305785,0.07751938,0.046116505,-0.01533101,-0.060810812,-0.270506918,0.200396821,0.063051097
1999-01-31,0.090225562,-0.173374608,0.028070176,-0.103789128,-0.107913665,0.017540604,-0.085409254,0.037122302,-0.126984134,0.213176936,0.038456261
1999-02-28,-0.096965514,0.509363294,-0.12136519,0.008602941,-0.068709679,-0.123853214,-0.027237354,-0.046296295,0.105454542,-0.027692307,-0.038085073
1999-03-31,0.010243278,0.20347394,-0.041015625,-0.088073395,-0.072463766,-0.123036653,-0.149599999,0.145631075,-0.013947369,0.136075944,0.037932131
1999-04-30,0.337135613,0.134020612,0.075356416,0.158953726,-0.084375001,0.243462682,0.236966819,-0.100677967,0.208053693,0.015598886,0.049104284
1999-05-31,-0.0521327,0,0.02439394,0.055,0.056109216,-0.031400967,0.164750963,0.014150944,0.166666672,0.0661157,-0.020717757
1999-06-30,-0.071359999,-0.214545459,0.033457249,0.052980132,0.032467533,0.296758115,0.150000006,0.116279073,-0.108571425,0.031007752,0.050829135
1999-07-31,0.042207792,-0.421296299,0.093525179,-0.069182388,0.064465411,0.081846155,-0.083333336,0.026000001,0.080645159,-0.143859655,-0.030842599
1999-08-31,0.016407061,0.032000002,0.012960526,0.031554054,-0.03267356,-0.142857149,-0.128526643,-0.130081296,0.069651738,-0.129411772,-0.009931256
1999-09-30,-0.04106776,0.368217051,-0.106035888,-0.107084021,0,0.06666667,0.059712231,0.002336449,0.054418605,0.050675675,-0.022692792
1999-10-31,0.001070664,-0.169971675,-0.054744527,0.031365313,-0.325153381,-0.088437498,-0.027303753,-0.038508158,-0.18403548,0.070739552,0.062095147
1999-11-30,-0.080427811,-0.139931738,-0.048494209,-0.091806799,0.09290909,0.058189657,-0.115789473,-0.009708738,0.141304344,0.393393397,0.036823686
1999-12-31,0.003508772,0.031746034,-0.01632653,0.107142858,0.033472802,0.105906315,-0.096825399,-0.181372553,-0.032380953,0.271551728,0.083754025
2000-01-31,-0.172494173,-0.123076923,0.020746889,-0.096774191,0.028340081,-0.157053411,-0.265486717,-0.010538923,-0.188118815,0.030508475,-0.039624281
2000-02-29,-0.239718303,-0.210526317,0.00495935,-0.047936507,-0.140000001,-0.046153847,0.012048192,-0.187878788,-0.024390243,-0.21875,0.031778362
2000-03-31,0.229906544,0.011111111,0.181262732,0.239495799,-0.078341015,0.149769589,0.152380958,0.298507452,0.185000002,0.252631575,0.053500656
2000-04-30,-0.066869304,0.093406595,-0.106896549,-0.001694915,0.045000002,-0.05266533,-0.145833328,0.076091953,-0.101063833,-0.238655463,-0.059526965
2000-05-31,0.051384363,0.125628144,-0.012664093,-0.059694398,0.049952153,0.025531914,0.164634153,0.010695187,0.17159763,-0.158940405,-0.038869612
2000-06-30,-0.144752249,-0.142857149,-0.204724416,-0.021818181,0.096330278,0.078838177,0.097382203,-0.121693119,-0.052525252,0.089238845,0.05160347
2000-07-31,0.027372263,-0.005208333,0.094059408,0.022304833,0.071129709,-0.058230769,0.091346152,0.140481934,-0.043010753,0.012048192,-0.017711719
2000-08-31,0.237939611,0.141361251,0.016832579,-0.018472727,0.068125002,-0.049281314,-0.24229075,-0.037037037,0.112359554,0.064285718,0.075005807
2000-09-30,-0.125722542,-0.009174312,-0.00896861,-0.041044775,0.088235296,0.045356371,-0.136046514,0.142857149,0.018181818,-0.085011184,-0.051141411
2000-10-31,-0.056198347,-0.120370373,-0.049773756,-0.194552526,0.016891891,0.030743802,0.068027213,-0.036923077,-0.039999999,0.105134472,-0.024489677
2000-11-30,0.048966724,-0.278947383,-0.091809526,0.156618357,0.091162793,-0.074596778,0.089171976,-0.059999999,0.135416672,-0.238938048,-0.102372184
2000-12-31,0.195286199,0.240875915,-0.026455026,0.130526319,0.042813454,0.178649232,0.225731,0.271276593,0.018348623,0.061046511,0.020422464
2001-01-31,-0.046309866,0.223529413,0.163043484,-0.016461875,-0.117302053,0.10255079,0.258461595,-0.195313811,0.290909082,0.230904102,0.039601408
2001-02-28,-0.057892211,0.193076938,0.056074765,0.038170319,0.067906976,-0.129380032,0.060513429,0.026041666,0.024647888,-0.162393138,-0.099102512
2001-03-31,-0.03008095,-0.352030933,0.017857144,-0.027336869,-0.112499997,0.0433437,0.092219017,-0.030456852,-0.164948449,-0.185799345,-0.070392042
2001-04-30,0.055512149,0.094527341,0.007017571,0.136597171,0.070422538,-0.02136503,0.046684306,0.011937208,0.17045638,0.295039147,0.083829187
2001-05-31,0.076049395,0.179999962,0.052264806,0.017282577,-0.094736807,-0.039634123,0.016219018,-0.107794374,0.096426591,-0.004435432,0.010455391
2001-06-30,-0.027039565,0.053929184,-0.040066801,0.05682715,0.052016329,0.14698416,-0.095238172,0.208178416,0.016813271,-0.009720525,-0.017552977
2001-07-31,-0.014251745,-0.040204693,-0.09565217,0.101319484,0.026666641,-0.041516751,-0.15678665,0.039999999,-0.158299178,-0.005726024,-0.018297974
2001-08-31,-0.079277068,-0.191926867,-0.013461553,-0.00519899,0.213744625,0.062409222,-0.007884355,-0.055555556,0.066342063,-0.261209399,-0.058981255
2001-09-30,-0.176517203,-0.217924565,-0.003937023,-0.089351006,-0.190689355,-0.185792342,-0.241721854,-0.067450956,-0.138413265,-0.104677022,-0.091485038
2001-10-31,0.203460515,-0.097708076,-0.122529589,0.085821882,0.040376082,0.067114145,-0.030837037,0.048780441,0.133021444,-0.424129337,0.02783571
2001-11-30,0.036474906,0.256684452,-0.020270305,0.167552575,0.177033573,0.010756094,0.336363614,0.116465852,0.090855397,0.028077777,0.078776807
2001-12-31,0.105644792,0.106382981,0.043255828,-0.021682914,0.114791229,0.145539835,0.111564621,0.071942449,0.029475385,-0.002100888,0.017852549
2002-01-31,-0.001170942,0.030769294,0.014712435,0.025620136,0.1807082,0.010655759,-0.018472919,0.017114127,0.129100561,-0.158947393,-0.015974658
2002-02-28,0.113012895,0.175373137,0.120826006,0.134417146,-0.040675651,0.005434804,0.085319929,-0.202247217,-0.061855655,-0.214017466,-0.021696493
2002-03-31,-0.024390275,0.115079343,0.088677742,-0.045821641,0.017670386,-0.018918939,0.130635828,0.118475586,0.119630381,0.113057248,0.044677947
2002-04-30,-0.08369562,0.100355856,0.172727272,-0.020607157,0.07725019,0.010743823,0.045734908,-0.03370367,0.149012551,-0.055793975,-0.049618106
2002-05-31,-0.019217107,0.157826617,-0.017054239,-0.057674207,0.010197401,-0.01369863,0.184275165,-0.086021565,0.055078119,-0.421212137,-0.010521097
2002-06-30,-0.065333992,0.099441379,-0.12559621,-0.048096221,0.028422048,-0.027777778,0.170833349,0.011764735,-0.168826401,-0.31937173,-0.070250921
2002-07-31,-0.097026639,-0.156504065,0.054909099,0.011789503,-0.131194383,-0.208857149,-0.22384344,-0.046926923,-0.121076189,-0.219230756,-0.081148878
2002-08-31,0.142980978,0.01506024,0.155118912,0.107781895,-0.108957954,0.142545462,-0.068775795,0.058515292,-0.061224528,0.586206913,0.007976094
2002-09-30,-0.043566857,-0.060534149,-0.082706764,-0.067572631,-0.023083242,0.024824973,-0.113737069,-0.047029678,0.03967391,-0.385093153,-0.099920064
2002-10-31,0.024240805,0.048641849,0.080327891,0.05445341,0.049367089,0.03074537,0.081005633,0.016017303,-0.033192791,0.151515126,0.074919313
2002-11-30,0.104551382,-0.234939784,-0.058877107,-0.002111709,-0.01487742,0.030615285,0.245478034,0.035866786,0.07901901,0.771929801,0.061262824
2002-12-31,0.007591926,0.041732263,0.04390239,-0.0404099,-0.042640388,-0.019117692,-0.007053961,0.006595212,0.097979851,-0.128712863,-0.053315196
2003-01-31,-0.028490767,-0.055177595,-0.003115217,-0.121096149,-0.028693793,-0.197601184,0.100293726,-0.065110542,-0.175544277,0.133522734,-0.023399595
2003-02-28,-0.034900591,-0.115999982,-0.012812503,-0.033929352,0.03659609,0.002635531,0.035087723,-0.029850759,-0.04494378,-0.057644114,-0.01539111
2003-03-31,-0.016708856,0.01809953,-0.018831795,0.004777849,0.029487202,0.061960254,0.001105391,0.07692302,0.128823578,0.063829787,0.010318027
2003-04-30,0.162203893,0.112888932,-0.077423528,0.085591972,0.05313411,0.192008391,0.079793125,0.090336151,0.076680623,0.157500029,0.082749791
2003-05-31,0.028134709,0.087060638,0.031734817,0.00876038,0.020102467,-0.021187678,-0.026684884,0.076447859,-0.038048815,0.101511829,0.063436083
2003-06-30,0.09568236,0.105069824,-0.112068966,0.022280483,0.086146653,0.016768269,0.051146343,0.012912504,0.07707914,0.313725471,0.016320212
2003-07-31,0.090495043,0.024601057,0.212427154,-0.045085482,0.007502715,0.037781153,0.001006734,0.084631719,0.138994321,-0.158208951,0.023098012
2003-08-31,0.073724344,0.187540516,0.073670745,0.019914985,-0.034397166,0.03516417,0.039222263,0.013743458,-0.01082883,0.00177309,0.024996005
2003-09-30,-0.000680288,-0.136065513,-0.037593983,-0.022075055,-0.014754759,-0.106962368,0.025806475,-0.094899893,-0.143999994,-0.099115029,-0.009116273
2003-10-31,0.106364943,-0.050600898,0.137500048,0.043792382,0.112691887,0.116315618,0.091482572,0.103067033,0.046108097,0.003929269,0.06031565
2003-11-30,0.043377906,-0.023317814,0.040384531,-0.009948133,0.046096906,0.086402245,0.009537626,0.132209912,-0.010426598,0.117416807,0.016593477
2003-12-31,-0.001481459,-0.030695759,0.014627742,0.0989011,0.04811107,0.062581532,0.088748924,0.010875818,-0.010536359,-0.115586661,0.045504838
2004-01-31,-0.02017805,-0.005629833,-0.095675007,-0.030599976,-0.026186028,-0.065521501,-0.024782458,-0.055209525,0.021951256,0.089108869,0.023036605
2004-02-29,0.039975736,0.019108245,0.062898599,0.060449775,0.072761789,0.024557706,0.064882338,0.027027074,-0.003818612,-0.063636348,0.015479187
2004-03-31,-0.012874869,0.006944471,0.023351606,0.018010927,-0.043208022,-0.018556634,-0.072607242,-0.070175484,-0.030186914,-0.20970872,-0.010666593
2004-04-30,0.037498128,-0.023448287,0.115436219,0.038846161,-0.049489707,0.025997866,0.004117528,0.043710683,-0.002988021,-0.029484058,-0.024213517
2004-05-31,0.088714249,0.03248588,0.017809898,0.02591629,-0.160104096,0.062274784,0.129852369,-0.015096619,0.100399606,0.043037932,0.014058482
2004-06-30,0.164338455,-0.010943902,0.053069957,0.025408376,0.065784298,0.116763562,-0.007258686,0.122011028,0.027008627,0.077669948,0.021601019
2004-07-31,-0.054895286,-0.153526992,0.011299435,-0.062654883,-0.027757427,-0.014967413,-0.212558046,-0.113661148,-0.070378616,-0.090090111,-0.037670456
