"Date","Rate"
Aug 1958,1.69
Sep 1958,2.44
Oct 1958,2.63
Nov 1958,2.67
Dec 1958,2.77
Jan 1959,2.82
Feb 1959,2.7
Mar 1959,2.8
Apr 1959,2.95
May 1959,2.84
Jun 1959,3.21
Jul 1959,3.2
Aug 1959,3.38
Sep 1959,4.04
Oct 1959,4.05
Nov 1959,4.15
Dec 1959,4.49
Jan 1960,4.35
Feb 1960,3.96
Mar 1960,3.31
Apr 1960,3.23
May 1960,3.29
Jun 1960,2.46
Jul 1960,2.3
Aug 1960,2.3
Sep 1960,2.48
Oct 1960,2.3
Nov 1960,2.37
Dec 1960,2.25
Jan 1961,2.24
Feb 1961,2.42
Mar 1961,2.39
Apr 1961,2.29
May 1961,2.29
Jun 1961,2.33
Jul 1961,2.24
Aug 1961,2.39
Sep 1961,2.28
Oct 1961,2.3
Nov 1961,2.48
Dec 1961,2.6
Jan 1962,2.72
Feb 1962,2.73
Mar 1962,2.72
Apr 1962,2.73
May 1962,2.69
Jun 1962,2.73
Jul 1962,2.92
Aug 1962,2.82
Sep 1962,2.78
Oct 1962,2.74
Nov 1962,2.83
Dec 1962,2.87
Jan 1963,2.91
Feb 1963,2.92
Mar 1963,2.89
Apr 1963,2.9
May 1963,2.93
Jun 1963,2.99
Jul 1963,3.18
Aug 1963,3.32
Sep 1963,3.38
Oct 1963,3.45
Nov 1963,3.52
Dec 1963,3.52
Jan 1964,3.52
Feb 1964,3.53
Mar 1964,3.54
Apr 1964,3.47
May 1964,3.48
Jun 1964,3.48
Jul 1964,3.46
Aug 1964,3.5
Sep 1964,3.53
Oct 1964,3.57
Nov 1964,3.64
Dec 1964,3.84
Jan 1965,3.81
Feb 1965,3.93
Mar 1965,3.93
Apr 1965,3.93
May 1965,3.89
Jun 1965,3.8
Jul 1965,3.84
Aug 1965,3.84
Sep 1965,3.92
Oct 1965,4.03
Nov 1965,4.09
Dec 1965,4.38
Jan 1966,4.59
Feb 1966,4.65
Mar 1966,4.59
Apr 1966,4.62
May 1966,4.64
Jun 1966,4.5
Jul 1966,4.8
Aug 1966,4.96
Sep 1966,5.37
Oct 1966,5.35
Nov 1966,5.32
Dec 1966,4.96
Jan 1967,4.72
Feb 1967,4.56
Mar 1967,4.26
Apr 1967,3.84
May 1967,3.6
Jun 1967,3.54
Jul 1967,4.21
Aug 1967,4.27
Sep 1967,4.42
Oct 1967,4.56
Nov 1967,4.73
Dec 1967,4.97
Jan 1968,5
Feb 1968,4.98
Mar 1968,5.17
Apr 1968,5.38
May 1968,5.66
Jun 1968,5.52
Jul 1968,5.31
Aug 1968,5.09
Sep 1968,5.19
Oct 1968,5.35
Nov 1968,5.45
Dec 1968,5.96
Jan 1969,6.14
Feb 1969,6.12
Mar 1969,6.02
Apr 1969,6.11
May 1969,6.04
Jun 1969,6.44
Jul 1969,7
Aug 1969,6.98
Sep 1969,7.09
Oct 1969,7
Nov 1969,7.24
Dec 1969,7.82
Jan 1970,7.87
Feb 1970,7.13
Mar 1970,6.63
Apr 1970,6.51
May 1970,6.84
Jun 1970,6.68
Jul 1970,6.45
Aug 1970,6.41
Sep 1970,6.12
Oct 1970,5.91
Nov 1970,5.28
Dec 1970,4.87
Jan 1971,4.44
Feb 1971,3.7
Mar 1971,3.38
Apr 1971,3.86
May 1971,4.14
Jun 1971,4.75
Jul 1971,5.4
Aug 1971,4.94
Sep 1971,4.69
Oct 1971,4.46
Nov 1971,4.22
Dec 1971,4.01
Jan 1972,3.38
Feb 1972,3.2
Mar 1972,3.73
Apr 1972,3.71
May 1972,3.69
Jun 1972,3.91
Jul 1972,3.98
Aug 1972,4.02
Sep 1972,4.66
Oct 1972,4.74
Nov 1972,4.78
Dec 1972,5.07
Jan 1973,5.41
Feb 1973,5.6
Mar 1973,6.09
Apr 1973,6.26
May 1973,6.36
Jun 1973,7.19
Jul 1973,8.01
Aug 1973,8.67
Sep 1973,8.29
Oct 1973,7.22
Nov 1973,7.83
Dec 1973,7.45
Jan 1974,7.77
Feb 1974,7.12
Mar 1974,7.96
Apr 1974,8.33
May 1974,8.23
Jun 1974,7.9
Jul 1974,7.55
Aug 1974,8.96
Sep 1974,8.06
Oct 1974,7.46
Nov 1974,7.47
Dec 1974,7.15
Jan 1975,6.26
Feb 1975,5.5
Mar 1975,5.49
Apr 1975,5.61
May 1975,5.23
Jun 1975,5.34
Jul 1975,6.13
Aug 1975,6.44
Sep 1975,6.42
Oct 1975,5.96
Nov 1975,5.48
Dec 1975,5.44
Jan 1976,4.87
Feb 1976,4.88
Mar 1976,5
Apr 1976,4.86
May 1976,5.2
Jun 1976,5.41
Jul 1976,5.23
Aug 1976,5.14
Sep 1976,5.08
Oct 1976,4.92
Nov 1976,4.75
Dec 1976,4.35
Jan 1977,4.62
Feb 1977,4.67
Mar 1977,4.6
Apr 1977,4.54
May 1977,4.96
Jun 1977,5.02
Jul 1977,5.19
Aug 1977,5.49
Sep 1977,5.81
Oct 1977,6.16
Nov 1977,6.1
Dec 1977,6.07
Jan 1978,6.44
Feb 1978,6.45
Mar 1978,6.29
Apr 1978,6.29
May 1978,6.41
Jun 1978,6.73
Jul 1978,7.01
Aug 1978,7.08
Sep 1978,7.85
Oct 1978,7.99
Nov 1978,8.64
Dec 1978,9.08
Jan 1979,9.35
Feb 1979,9.32
Mar 1979,9.48
Apr 1979,9.46
May 1979,9.61
Jun 1979,9.06
Jul 1979,9.24
Aug 1979,9.52
Sep 1979,10.26
Oct 1979,11.7
Nov 1979,11.79
Dec 1979,12.04
Jan 1980,12
Feb 1980,12.86
Mar 1980,15.2
Apr 1980,13.2
May 1980,8.58
Jun 1980,7.07
Jul 1980,8.06
Aug 1980,9.13
Sep 1980,10.27
Oct 1980,11.62
Nov 1980,13.73
Dec 1980,15.49
Jan 1981,15.02
Feb 1981,14.79
Mar 1981,13.36
Apr 1981,13.69
May 1981,16.3
Jun 1981,14.73
Jul 1981,14.95
Aug 1981,15.51
Sep 1981,14.7
Oct 1981,13.54
Nov 1981,10.86
Dec 1981,10.85
Jan 1982,12.28
Feb 1982,13.48
Mar 1982,12.68
Apr 1982,12.7
May 1982,12.09
Jun 1982,12.47
Jul 1982,11.35
Aug 1982,8.68
Sep 1982,7.92
Oct 1982,7.71
Nov 1982,8.07
Dec 1982,7.94
Jan 1983,7.86
Feb 1983,8.11
Mar 1983,8.35
Apr 1983,8.21
May 1983,8.19
Jun 1983,8.79
Jul 1983,9.08
Aug 1983,9.34
Sep 1983,9
Oct 1983,8.64
Nov 1983,8.76
Dec 1983,9
Jan 1984,8.9
Feb 1984,9.09
Mar 1984,9.52
Apr 1984,9.69
May 1984,9.83
Jun 1984,9.87
Jul 1984,10.12
Aug 1984,10.47
Sep 1984,10.37
Oct 1984,9.74
Nov 1984,8.61
Dec 1984,8.06
Jan 1985,7.76
Feb 1985,8.27
Mar 1985,8.52
Apr 1985,7.95
May 1985,7.48
Jun 1985,6.95
Jul 1985,7.08
Aug 1985,7.14
Sep 1985,7.1
Oct 1985,7.16
Nov 1985,7.24
Dec 1985,7.1
Jan 1986,7.07
Feb 1986,7.06
Mar 1986,6.56
Apr 1986,6.06
May 1986,6.15
Jun 1986,6.21
Jul 1986,5.83
Aug 1986,5.53
Sep 1986,5.21
Oct 1986,5.18
Nov 1986,5.35
Dec 1986,5.53
